Input Graph: 
{ X: 685.0; Y: 585.0 }
{ X: 462.0; Y: 761.0 }
{ X: 941.0; Y: 438.0 }
{ X: 54.0; Y: 229.0 }
{ X: 490.0; Y: 279.0 }
{ X: 163.0; Y: 902.0 }
{ X: 347.0; Y: 30.0 }
{ X: 416.0; Y: 742.0 }
{ X: 234.0; Y: 270.0 }
{ X: 715.0; Y: 377.0 }
{ X: 149.0; Y: 282.0 }
{ X: 407.0; Y: 408.0 }
{ X: 792.0; Y: 187.0 }
{ X: 666.0; Y: 838.0 }
{ X: 880.0; Y: 13.0 }
{ X: 16.0; Y: 606.0 }
{ X: 497.0; Y: 489.0 }
{ X: 717.0; Y: 90.0 }
{ X: 376.0; Y: 883.0 }
{ X: 23.0; Y: 741.0 }
{ X: 793.0; Y: 85.0 }
{ X: 904.0; Y: 224.0 }
{ X: 553.0; Y: 314.0 }
{ X: 783.0; Y: 672.0 }
{ X: 699.0; Y: 299.0 }
{ X: 863.0; Y: 389.0 }
{ X: 422.0; Y: 371.0 }
{ X: 429.0; Y: 932.0 }
{ X: 372.0; Y: 550.0 }
{ X: 237.0; Y: 197.0 }
{ X: 355.0; Y: 877.0 }
{ X: 884.0; Y: 660.0 }
{ X: 176.0; Y: 866.0 }
{ X: 759.0; Y: 595.0 }
{ X: 662.0; Y: 658.0 }
{ X: 874.0; Y: 453.0 }
{ X: 146.0; Y: 925.0 }
{ X: 529.0; Y: 195.0 }
{ X: 393.0; Y: 246.0 }
{ X: 169.0; Y: 394.0 }
{ X: 911.0; Y: 160.0 }
{ X: 206.0; Y: 419.0 }
{ X: 1.0; Y: 502.0 }
{ X: 941.0; Y: 944.0 }
{ X: 819.0; Y: 57.0 }
{ X: 107.0; Y: 628.0 }
{ X: 521.0; Y: 733.0 }
{ X: 707.0; Y: 306.0 }
{ X: 761.0; Y: 324.0 }
{ X: 619.0; Y: 196.0 }
{ X: 958.0; Y: 968.0 }
{ X: 967.0; Y: 469.0 }
{ X: 150.0; Y: 132.0 }
{ X: 467.0; Y: 559.0 }
{ X: 604.0; Y: 35.0 }
{ X: 197.0; Y: 501.0 }
{ X: 405.0; Y: 542.0 }
{ X: 887.0; Y: 384.0 }
{ X: 502.0; Y: 17.0 }
{ X: 776.0; Y: 37.0 }
{ X: 483.0; Y: 397.0 }
{ X: 763.0; Y: 956.0 }
{ X: 89.0; Y: 870.0 }
{ X: 677.0; Y: 673.0 }
{ X: 916.0; Y: 702.0 }
{ X: 266.0; Y: 854.0 }
{ X: 553.0; Y: 543.0 }
{ X: 31.0; Y: 734.0 }
{ X: 596.0; Y: 820.0 }
{ X: 921.0; Y: 203.0 }
{ X: 89.0; Y: 184.0 }
{ X: 459.0; Y: 408.0 }
{ X: 774.0; Y: 564.0 }
{ X: 3.0; Y: 271.0 }
{ X: 750.0; Y: 684.0 }
{ X: 389.0; Y: 314.0 }
{ X: 695.0; Y: 234.0 }
{ X: 365.0; Y: 173.0 }
{ X: 428.0; Y: 960.0 }
{ X: 616.0; Y: 625.0 }
{ X: 906.0; Y: 64.0 }
{ X: 467.0; Y: 857.0 }
{ X: 430.0; Y: 383.0 }
{ X: 25.0; Y: 616.0 }
{ X: 92.0; Y: 573.0 }
{ X: 312.0; Y: 208.0 }
{ X: 897.0; Y: 485.0 }
{ X: 140.0; Y: 292.0 }
{ X: 937.0; Y: 307.0 }
{ X: 297.0; Y: 301.0 }
{ X: 457.0; Y: 872.0 }
{ X: 725.0; Y: 272.0 }
{ X: 677.0; Y: 790.0 }
{ X: 610.0; Y: 725.0 }
{ X: 425.0; Y: 49.0 }
{ X: 847.0; Y: 105.0 }
{ X: 51.0; Y: 579.0 }
{ X: 655.0; Y: 700.0 }
{ X: 134.0; Y: 471.0 }
{ X: 62.0; Y: 546.0 }
{ X: 815.0; Y: 270.0 }
