Input Graph: 
{ X: 0.5320113663704915; Y: 0.290534777335113 }
{ X: 0.012817986906645262; Y: 0.7030136622387789 }
{ X: 0.4988433384323194; Y: 0.5625600602659282 }
{ X: 0.4773063990050136; Y: 0.8600860914052342 }
{ X: 0.23465056624195368; Y: 0.23809858074853463 }
{ X: 0.8139876460215199; Y: 0.5794680718081361 }
{ X: 0.9777302472086646; Y: 0.422186449200622 }
{ X: 0.21056806994217026; Y: 0.8915197986395077 }
{ X: 0.04794477083978088; Y: 0.09096231634050966 }
{ X: 0.26519179417931316; Y: 0.1433979479358346 }
{ X: 0.7124748018799136; Y: 0.3238756211553204 }
{ X: 0.8307096501351121; Y: 0.9754046555132865 }
{ X: 0.13360371688519534; Y: 0.14917622070950676 }
{ X: 0.19097904369280805; Y: 0.16061758344535548 }
{ X: 0.898533356979629; Y: 0.5026849473083121 }
{ X: 0.06919540983628547; Y: 0.8078013348532347 }
{ X: 0.6312308658255487; Y: 0.7998457710190022 }
{ X: 0.9682547115055552; Y: 0.4276000307444211 }
{ X: 0.18630693318315827; Y: 0.6210590087563216 }
{ X: 0.343147183853834; Y: 0.3620112649663798 }
{ X: 0.924925138585343; Y: 0.010295751295529176 }
{ X: 0.10538245056608753; Y: 0.07714113180146531 }
{ X: 0.5727427155027202; Y: 0.8869937242798491 }
{ X: 0.9594457812710405; Y: 0.8192406763803888 }
{ X: 0.15988240072280124; Y: 0.07123423304505128 }
{ X: 0.07128570611349094; Y: 0.13402353694623126 }
{ X: 0.5429356446147486; Y: 0.4222003775256725 }
{ X: 0.5688326820131222; Y: 0.74926472681494 }
{ X: 0.008997010916372505; Y: 0.5899166490015927 }
{ X: 0.37454933960103876; Y: 0.32068083170378914 }
{ X: 0.461729907604399; Y: 0.8802696330134778 }
{ X: 0.8700115732265427; Y: 0.541091421262129 }
{ X: 0.6894634476823345; Y: 0.7333099749092877 }
{ X: 0.8925212265427938; Y: 0.11286157794687612 }
{ X: 0.2153206112492786; Y: 0.3148357048793925 }
{ X: 0.5637498297789694; Y: 0.08362586361771018 }
{ X: 0.22937776100375107; Y: 0.7212566468088181 }
{ X: 0.45041370907388834; Y: 0.04529337367468855 }
{ X: 0.10285522060988839; Y: 0.29774029092622967 }
{ X: 0.5569802071007792; Y: 0.6963341395086005 }
{ X: 0.9843392959056217; Y: 0.5696386906653984 }
{ X: 0.6504052608523524; Y: 0.2673468718134804 }
{ X: 0.978035284467418; Y: 0.2871967637187629 }
{ X: 0.4169022844321121; Y: 0.3099075604735402 }
{ X: 0.40405209192977587; Y: 0.08354176631508414 }
{ X: 0.9507420364769412; Y: 0.3486999368529029 }
{ X: 0.6407177621554787; Y: 0.24595411208455142 }
{ X: 0.07508410551031208; Y: 0.8969265542411764 }
{ X: 0.04892653965479665; Y: 0.10041928964217584 }
{ X: 0.994839350124448; Y: 0.3350016263937 }
{ X: 0.4785168607566067; Y: 0.5094611396597952 }
{ X: 0.7815637335756912; Y: 0.15252481205317714 }
{ X: 0.8566809366331071; Y: 0.9832563945691407 }
{ X: 0.1903833516274025; Y: 0.05353632543230635 }
{ X: 0.35840535448341604; Y: 0.9040303542360959 }
{ X: 0.3089507653990994; Y: 0.42505333540450674 }
{ X: 0.6589430321521859; Y: 0.3637340328822751 }
{ X: 0.5384324976608028; Y: 0.6688876757544787 }
{ X: 0.7683163399187151; Y: 0.11500221846037628 }
{ X: 0.40652790863943; Y: 0.8967445610147983 }
{ X: 0.9478515757210728; Y: 0.13539310758498024 }
{ X: 0.7125191905669107; Y: 0.4886028219786025 }
{ X: 0.20874463735304605; Y: 0.3049090466322216 }
{ X: 0.5043526374322218; Y: 0.014376295809920281 }
{ X: 0.892657913985648; Y: 0.6967984460635537 }
{ X: 0.3877512569925641; Y: 0.018856348399904133 }
{ X: 0.8343484789695765; Y: 0.981639173447413 }
{ X: 0.6673585685814882; Y: 0.16993587914625197 }
{ X: 0.6063275168633963; Y: 0.44470289618756254 }
{ X: 0.8199136090657143; Y: 0.2701143536704036 }
{ X: 0.34555099213802487; Y: 0.11660097745513853 }
{ X: 0.7994572289070279; Y: 0.6312842146497974 }
{ X: 0.6621415670081054; Y: 0.5172113814320219 }
{ X: 0.6745697006809971; Y: 0.3127985441053197 }
{ X: 0.13014179074200427; Y: 0.512886982746301 }
{ X: 0.09763946868915674; Y: 0.7228198504840747 }
{ X: 0.860298523197534; Y: 0.7869449895271867 }
{ X: 0.10616319612684988; Y: 0.08295030091244193 }
{ X: 0.6548785702316573; Y: 0.42343783025666515 }
{ X: 0.7560770725538267; Y: 0.256142988837488 }
{ X: 0.2445156427428835; Y: 0.10420499032782782 }
{ X: 0.08711941892050212; Y: 0.4378947064433095 }
{ X: 0.10708857229112934; Y: 0.4192064316092299 }
{ X: 0.9202243740830339; Y: 0.21071963324644194 }
{ X: 0.3686306268328532; Y: 0.790136946814765 }
{ X: 0.9869470278856738; Y: 0.46190463377432645 }
{ X: 0.2862702767487514; Y: 0.5073219925714392 }
{ X: 0.8909197102377441; Y: 0.6645455608298114 }
{ X: 0.8132031056902098; Y: 0.37989471061240176 }
{ X: 0.4013395032404685; Y: 0.021864840013165243 }
{ X: 0.7456948885962553; Y: 0.49925409984232916 }
{ X: 0.578487073221204; Y: 0.9748104323591524 }
{ X: 0.9521161870582932; Y: 0.6158045851443227 }
{ X: 0.2312767407186852; Y: 0.5729359143188499 }
{ X: 0.18400785853560242; Y: 0.6289767370591586 }
{ X: 0.20683767666057618; Y: 0.2085618613507194 }
{ X: 0.969178112720941; Y: 0.6905292987990856 }
{ X: 0.012126589811775279; Y: 0.214218468065709 }
{ X: 0.08683057116387527; Y: 0.421132379035136 }
{ X: 0.2675714212057356; Y: 0.8233694868827734 }
{ X: 0.12472375483492981; Y: 0.7402320712282723 }
{ X: 0.49274645534073536; Y: 0.9944171797210053 }
{ X: 0.618361768662558; Y: 0.8091960748212761 }
{ X: 0.7240785724696128; Y: 0.5979889458300521 }
{ X: 0.272216175592352; Y: 0.5877407727767945 }
{ X: 0.46458481334632273; Y: 0.46750475404089 }
{ X: 0.7629792166306869; Y: 0.5036394450865788 }
{ X: 0.46564123407757096; Y: 0.8130260723409473 }
{ X: 0.6248482055094432; Y: 0.7357118492199137 }
{ X: 0.8407828499138505; Y: 0.4983860787067427 }
{ X: 0.7168412246316785; Y: 0.6100948471362725 }
{ X: 0.011534988354846676; Y: 0.6816008775225556 }
{ X: 0.7721440105395402; Y: 0.6097945035452897 }
{ X: 0.9852758653046944; Y: 0.3185622803786723 }
{ X: 0.5294882002677709; Y: 0.49751930523676746 }
{ X: 0.4651303768265077; Y: 0.030011592455664426 }
{ X: 0.9465606629113275; Y: 0.05179467284406336 }
{ X: 0.29189506924328024; Y: 0.831794754671987 }
{ X: 0.9954442367820767; Y: 0.9163586830844798 }
{ X: 0.7179945334543126; Y: 0.22839877453967172 }
{ X: 0.5400896411865699; Y: 0.06283912813651904 }
{ X: 0.013468917993366136; Y: 0.16976927436475975 }
{ X: 0.7958186596824448; Y: 0.36671171098833255 }
{ X: 0.9039927172907327; Y: 0.37140940266163625 }
{ X: 0.8708585128570682; Y: 0.7965395630218765 }
{ X: 0.3409248276886424; Y: 0.4977599821213946 }
{ X: 0.8899075919917715; Y: 0.7164940316787098 }
{ X: 0.1033898637594256; Y: 0.7088608568813279 }
{ X: 0.19973235244600496; Y: 0.802156626448728 }
{ X: 0.7323906678712067; Y: 0.07029350615077357 }
{ X: 0.1567955083224415; Y: 0.06960227964402166 }
{ X: 0.2969521694633209; Y: 0.3264049763473743 }
{ X: 0.9969154166543197; Y: 0.5177638996061211 }
{ X: 0.4922963481622942; Y: 0.5368130050838865 }
{ X: 0.2869568224783823; Y: 0.8840781194890776 }
{ X: 0.5700486211133522; Y: 0.07619228485147089 }
{ X: 0.45855267422076373; Y: 0.013412204365477853 }
{ X: 0.6004753490536547; Y: 0.49734224637907554 }
{ X: 0.9238574340789242; Y: 0.3402723774257158 }
{ X: 0.566752617589446; Y: 0.7575358326776905 }
{ X: 0.27333133950724386; Y: 0.9842933343025176 }
{ X: 0.791266330930026; Y: 0.3081496586502449 }
{ X: 0.055556264006790146; Y: 0.9590089976747903 }
{ X: 0.19394347651751076; Y: 0.5475753849037907 }
{ X: 0.6390824545129411; Y: 0.9939044152932409 }
{ X: 0.8826146872122513; Y: 0.1374123728192027 }
{ X: 0.65630685318602; Y: 0.46974919630854184 }
{ X: 0.5754080339786856; Y: 0.6819415091196821 }
{ X: 0.5293824597125584; Y: 0.9672118078992057 }
{ X: 0.355174071423367; Y: 0.2708803265979354 }
{ X: 0.578158965085186; Y: 0.9287554847078101 }
{ X: 0.25594215853690927; Y: 0.38541947315609293 }
{ X: 0.2101547537186963; Y: 0.9338151624897069 }
{ X: 0.18140797268346198; Y: 0.6675402683880455 }
{ X: 0.6925600280331249; Y: 0.0872557265468571 }
{ X: 0.6554523434975875; Y: 0.05261357867219785 }
{ X: 0.006271256669520886; Y: 0.021111552595051153 }
{ X: 0.9046913098309899; Y: 0.7652799288182526 }
{ X: 0.2819568196785386; Y: 0.009607228305804627 }
{ X: 0.7730573326938723; Y: 0.6786109471255724 }
{ X: 0.3181539475393974; Y: 0.6974595374793168 }
{ X: 0.9684119696647261; Y: 0.5365519277862825 }
{ X: 0.6813969167563081; Y: 0.9414607590025551 }
{ X: 0.1411895562831358; Y: 0.5396457416011131 }
{ X: 0.8883764647794611; Y: 0.26534315393259733 }
{ X: 0.29507234891101575; Y: 0.794037953446949 }
{ X: 0.17013040189883621; Y: 0.4279246630569702 }
{ X: 0.02969677888499156; Y: 0.12376321355131326 }
{ X: 0.31826565107883165; Y: 0.6045360309978255 }
{ X: 0.11539097442211721; Y: 0.7463128257162359 }
{ X: 0.11321129105061822; Y: 0.6817289023745338 }
{ X: 0.8999436471364776; Y: 0.31148369365718453 }
{ X: 0.8345031018511193; Y: 0.16526544881824257 }
{ X: 0.047404007890547106; Y: 0.8035084591925412 }
{ X: 0.3530991583231994; Y: 0.20138907235298265 }
{ X: 0.10891324097252963; Y: 0.8064667503272409 }
{ X: 0.3057267770508658; Y: 0.21137637140783538 }
{ X: 0.425566843695682; Y: 0.6329780086171457 }
{ X: 0.8512606900696151; Y: 0.6393705259223564 }
{ X: 0.8633086137305841; Y: 0.8161751880090017 }
{ X: 0.5091324677036628; Y: 0.31349558745519224 }
{ X: 0.879855621068684; Y: 0.4649599733564882 }
{ X: 0.5797712128818009; Y: 0.9202524417056922 }
{ X: 0.4236544551897593; Y: 0.9825391088304276 }
{ X: 0.6470754598766572; Y: 0.09219564623639231 }
{ X: 0.16486888899432783; Y: 0.6482421118946364 }
{ X: 0.6629163743249029; Y: 0.608891821399204 }
{ X: 0.5583985199167504; Y: 0.5626200375712934 }
{ X: 0.11367208316505673; Y: 0.21115902077060333 }
{ X: 0.2389290215183788; Y: 0.4558256580742708 }
{ X: 0.7687935293736556; Y: 0.528587624988203 }
{ X: 0.2480132679532684; Y: 0.8592748715459159 }
{ X: 0.5114012032992811; Y: 0.620342170392841 }
{ X: 0.593183949704645; Y: 0.14058928774321866 }
{ X: 0.7509134285972742; Y: 0.629244775577858 }
{ X: 0.6390974198218053; Y: 0.901820087530912 }
{ X: 0.9177057929832091; Y: 0.04913953254621328 }
{ X: 0.8307085992940973; Y: 0.24095319343440824 }
{ X: 0.5398017759591853; Y: 0.10553828715853442 }
{ X: 0.24847747055320324; Y: 0.3766956692961859 }
{ X: 0.40159464056816785; Y: 0.7495476375087438 }
{ X: 0.4956064661997289; Y: 0.1365432223757559 }
{ X: 0.28460070093508183; Y: 0.7650772321836522 }
{ X: 0.417309356451128; Y: 0.8081292623786229 }
{ X: 0.7902436899231808; Y: 0.4893291672408411 }
{ X: 0.1521112255290289; Y: 0.8538548245102491 }
{ X: 0.7446704429725246; Y: 0.6465688618844443 }
{ X: 0.015179887163251915; Y: 0.9888001686683011 }
{ X: 0.6855977863618598; Y: 0.7951769732545749 }
{ X: 0.7136882847271003; Y: 0.12191721285757695 }
{ X: 0.9311907863560934; Y: 0.8879827154088452 }
{ X: 0.3942084198963083; Y: 0.6605034937316054 }
{ X: 0.7309721133702015; Y: 0.44587826212101533 }
{ X: 0.02213632554390832; Y: 0.6779573338859542 }
{ X: 0.9987627521175699; Y: 0.8447145836740577 }
{ X: 0.5931483734436603; Y: 0.44481413394685876 }
{ X: 0.1276538714782537; Y: 0.21547845687731648 }
{ X: 0.6766888646279786; Y: 0.8230640353243324 }
{ X: 0.38701005525283005; Y: 0.45775065575834395 }
{ X: 0.7914887608393245; Y: 0.023750826969887617 }
{ X: 0.4015037224384921; Y: 0.8664454942927649 }
{ X: 0.11311581784538749; Y: 0.22785205888596538 }
{ X: 0.21218074447796287; Y: 0.8718315349076566 }
{ X: 0.013555815144248418; Y: 0.5704403251341685 }
{ X: 0.419557415943423; Y: 0.39283364902295925 }
{ X: 0.9328251130275246; Y: 0.9881260814207508 }
{ X: 0.9087486668967436; Y: 0.3036162582675599 }
{ X: 0.08261448484743106; Y: 0.42978131925652396 }
{ X: 0.6566273753649912; Y: 0.5134477936229573 }
{ X: 0.48196415743253496; Y: 0.9305448641009884 }
{ X: 0.12101517481197788; Y: 0.1598465140555363 }
{ X: 0.8249700820039426; Y: 0.049108619487848504 }
{ X: 0.7119042276146343; Y: 0.4150073940648087 }
